Date,Open,High,Low,Close,Adj Close,Volume
2016-03-22,28.491461,28.994307,28.358635,28.823528,23.880758,42880725
2016-03-23,28.870968,29.041746,28.557875,28.643265,23.731407,42985704
2016-03-24,28.576851,28.728653,28.349146,28.538898,23.644939,33669714
2016-03-28,28.548388,28.671726,28.216318,28.254269,23.409119,32850545
2016-03-29,28.292219,28.643265,28.187857,28.510435,23.621361,36464395
2016-03-30,28.605312,28.662239,28.472486,28.529411,23.637081,33824546
2016-03-31,28.519924,28.624289,27.998102,28.121443,23.299070,59861719
2016-04-01,27.931688,28.624289,27.903227,28.500950,23.613495,50975340
2016-04-04,28.548388,29.174574,28.519924,29.146111,24.148024,54762573
2016-04-05,29.611006,30.123341,29.013283,29.753321,24.651110,299829377
2016-04-06,29.924099,31.309298,29.914612,31.242884,25.885231,158517384
2016-04-07,30.882353,31.385199,30.834915,31.081594,25.751604,64692412
2016-04-08,31.148008,31.214420,30.626186,30.834915,25.547228,55597973
2016-04-11,30.853889,30.901327,30.237192,30.256166,25.067722,87735803
2016-04-12,30.265656,30.493359,30.170778,30.322580,25.122749,45178972
2016-04-13,30.322580,30.939280,30.322580,30.872866,25.578667,38429156
2016-04-14,30.815939,31.100569,30.673624,30.977230,25.665136,33682467
2016-04-15,30.977230,31.100569,30.645161,30.834915,25.547228,37179112
2016-04-18,30.834915,31.176472,30.635674,30.939280,25.633696,38997262
2016-04-19,31.119545,31.499050,31.062618,31.204933,25.853790,29954996
2016-04-20,31.166983,31.688805,31.166983,31.527514,26.121058,36981593
2016-04-21,31.366224,31.764706,31.347248,31.537003,26.128920,36025298
2016-04-22,31.546490,31.783682,31.375711,31.565466,26.152498,27548714
2016-04-25,31.432638,31.565466,31.309298,31.508539,26.105337,25569513
2016-04-26,31.499050,31.622391,31.233397,31.356735,25.979563,30293330
2016-04-27,31.290323,31.508539,31.214420,31.309298,25.940260,27503603
2016-04-28,31.280834,31.480076,31.072105,31.223909,25.869516,34818995
2016-04-29,31.185959,31.261860,30.768501,31.034157,25.712297,36061134
2016-05-02,30.891842,31.309298,30.834915,31.119545,25.783049,40122407
2016-05-03,31.925997,32.229603,31.546490,31.973434,26.490507,75396414
2016-05-04,31.944971,32.163189,31.622391,31.688805,26.254686,38021364
2016-05-05,31.660341,32.001900,31.593927,31.850096,26.388323,25047467
2016-05-06,31.669828,31.869070,31.499050,31.859583,26.396175,24422234
2016-05-09,31.821632,32.220116,31.802656,32.087288,26.584839,33182766
2016-05-10,32.096775,32.134724,31.764706,32.068310,26.569113,26125498
2016-05-11,31.745731,31.840607,31.451612,31.461102,26.299459,32037384
2016-05-12,31.518026,31.574953,31.233397,31.489565,26.323256,26746515
2016-05-13,31.622391,31.736242,31.442125,31.489565,26.323256,21622494
2016-05-16,31.242884,31.717268,31.129032,31.669828,26.473940,23239224
2016-05-17,31.565466,31.631880,31.233397,31.337761,26.196358,33175177
2016-05-18,31.318787,31.669828,31.280834,31.470589,26.307386,21034889
2016-05-19,31.461102,31.717268,31.271347,31.669828,26.473940,28095740
2016-05-20,31.764706,32.163189,31.736242,32.011387,26.759462,36437939
2016-05-23,32.096775,32.172676,31.925997,31.944971,26.703945,25126833
2016-05-24,31.963947,32.428844,31.963947,32.352940,27.044979,29890808
2016-05-25,32.371918,32.637569,32.324478,32.590134,27.243258,22152761
2016-05-26,32.504745,32.874763,32.504745,32.666035,27.306711,26656292
2016-05-27,32.618595,32.969639,32.618595,32.836811,27.449461,21569056
2016-05-31,32.893738,32.969639,32.618595,32.922199,27.520842,34547274
2016-06-01,32.922199,33.149906,32.846298,32.969639,27.560499,24361207
2016-06-02,32.912712,33.197342,32.751423,33.083492,27.655678,31807717
2016-06-03,33.083492,33.092979,32.685009,32.912712,27.512915,28377580
2016-06-06,32.922199,33.197342,32.846298,33.140415,27.703262,21526791
2016-06-07,33.055027,33.197342,32.969639,33.055027,27.631874,24776905
2016-06-08,32.988613,33.519924,32.893738,33.444023,27.957056,23703195
2016-06-09,33.254269,33.681213,33.235294,33.500950,28.004644,25440187
2016-06-10,33.311195,33.576851,33.225807,33.481972,27.988775,21645366
2016-06-13,33.225807,33.349148,32.922199,32.960152,27.552568,31296000
2016-06-14,32.827324,33.235294,32.808350,33.197342,27.750845,33410430
2016-06-15,33.216320,33.387096,32.874763,33.007591,27.592220,21372696
2016-06-16,32.903225,33.007591,32.656548,32.969639,27.560499,23540563
2016-06-17,32.998100,33.026566,32.314991,32.466793,27.140154,35423464
2016-06-20,32.713470,32.922199,32.428844,32.732449,27.362219,23814919
2016-06-21,32.741936,33.092979,32.741936,32.969639,27.560499,26725962
2016-06-22,32.960152,33.159393,32.647060,32.703983,27.338427,26515583
2016-06-23,32.922199,32.960152,32.542694,32.817837,27.433599,25111339
2016-06-24,32.068310,32.685009,32.011387,32.229603,26.941877,46376211
2016-06-27,32.068310,32.239090,31.812143,32.068310,26.807047,31359662
2016-06-28,32.400379,32.703983,32.182163,32.675522,27.314634,25068547
2016-06-29,32.846298,33.349148,32.798862,33.216320,27.766705,26206761
2016-06-30,33.339657,33.462997,33.149906,33.406071,27.925329,28451465
2016-07-01,33.349148,33.823528,33.320683,33.747627,28.210852,20371290
2016-07-05,33.719166,34.079697,33.633778,33.975330,28.401196,21972843
2016-07-06,33.984821,34.060722,33.567364,34.022770,28.440847,27226928
2016-07-07,33.956356,34.089184,33.738140,33.937382,28.369469,19081089
2016-07-08,34.041744,34.335861,33.870968,34.269451,28.647053,18752873
2016-07-11,34.222012,34.487667,34.184059,34.297913,28.670853,17406915
2016-07-12,34.297913,34.440228,34.184059,34.383301,28.742229,17066368
2016-07-13,34.421253,34.563568,34.354839,34.449715,28.797749,14611497
2016-07-14,34.620495,35.066414,34.392788,35.028461,29.281542,29155116
2016-07-15,35.075901,35.284630,34.753323,34.886147,29.162577,26445387
2016-07-18,34.810246,35.094875,34.677418,34.762810,29.059479,17827567
2016-07-19,34.791271,34.981026,34.677418,34.762810,29.059479,17614975
2016-07-20,35.009487,35.037952,34.800758,34.800758,29.091196,12937112
2016-07-21,34.791271,34.933586,34.648956,34.829224,29.114996,13772091
2016-07-22,34.914612,34.952560,34.800758,34.857685,29.138783,14209501
2016-07-25,34.914612,34.952560,34.639469,34.895638,29.170504,12833293
2016-07-26,34.943073,34.981026,34.772297,34.943073,29.210159,12773953
2016-07-27,34.867172,35.028461,34.772297,34.962048,29.226025,15877456
2016-07-28,34.990513,35.018974,34.629982,34.791271,29.083269,17134878
2016-07-29,34.800758,35.056927,34.772297,35.000000,29.257750,22675545
2016-08-01,35.123341,35.474384,35.085388,35.398483,29.590855,29911044
2016-08-02,34.876659,34.933586,34.278938,34.525616,28.861195,34914488
2016-08-03,34.070210,34.108158,33.263756,33.481972,28.221437,44941190
2016-08-04,33.681213,33.700191,33.349148,33.349148,28.109482,26482593
2016-08-05,33.548386,33.709679,33.415562,33.624287,28.341389,28665006
2016-08-08,33.472485,33.472485,32.931690,33.140415,27.933542,32189687
2016-08-09,33.197342,33.491463,33.111954,33.282730,28.053497,18054388
